"incl.cut1.val","incl.cut0.val","n.cut","Configurations"
0.842646342236549,0.705187777988613,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP"
0.529429644811898,0.518199851736426,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP + 
  elderly*STUNEMR*cgdp"
0.563709992682561,0.31974036549218,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP + 
  elderly*STUNEMR*cgdp"
0.939869839232415,0.476731001166627,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP"
0.484367310302332,0.120533938286826,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP + 
  elderly*STUNEMR*cgdp"
0.740113909589127,0.594251456670463,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP"
0.913302343571559,0.793046598788351,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP"
0.940840628929436,0.670332498149946,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP"
0.918880166485906,0.502516351873055,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP"
0.611776169156656,0.0287525895982981,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP"
0.688971410738304,0.481601398205385,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP"
0.219649474136531,0.104043447645381,"Frequency Threshold = 1","elderly*cgdp + 
  ELDERLY*CGDP + 
  elderly*stunemr + 
  elderly*cgdp + 
  ELDERLY*CGDP + 
  stunemr*CGDP"
0.595612943870947,0.383461130317301,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP"
0.597476542927325,0.084236262133345,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP"
0.852425983641297,0.477995587047189,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP"
0.9270191823598,0.0197963921818882,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP"
0.618734193965793,0.506946337874979,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP"
0.443618422839791,0.0653816508129239,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP + 
  elderly*STUNEMR*cgdp"
0.963977668434381,0.0126572814770043,"Frequency Threshold = 1","ELDERLY*STUNEMR*CGDP"
0.315395066281781,0.00461657228879631,"Frequency Threshold = 1","elderly*cgdp + 
  ELDERLY*CGDP + 
  elderly*stunemr + 
  elderly*cgdp + 
  ELDERLY*CGDP + 
  stunemr*CGDP"
0.820830889744684,0.489172052126378,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP"
0.779038545442745,0.164962794166058,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP"
0.704264126485214,0.594372226856649,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP"
0.961577935377136,0.836229665903375,"Frequency Threshold = 1","ELDERLY*STUNEMR*CGDP"
0.844987486023456,0.146987350191921,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP"
0.991115451790392,0.751139221014455,"Frequency Threshold = 1","ELDERLY*STUNEMR*CGDP"
0.620486366329715,0.0966808691155165,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP"
0.956115925917402,0.941350124077871,"Frequency Threshold = 1","ELDERLY*STUNEMR*CGDP"
0.711141420295462,0.434092192677781,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP"
0.76386204501614,0.475584187079221,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP"
0.316774621838704,0.130613056942821,"Frequency Threshold = 1","elderly*cgdp + 
  ELDERLY*CGDP + 
  elderly*stunemr + 
  elderly*cgdp + 
  ELDERLY*CGDP + 
  stunemr*CGDP"
0.395194650162011,0.355750499293208,"Frequency Threshold = 1","elderly*cgdp + 
  ELDERLY*CGDP + 
  elderly*stunemr + 
  elderly*cgdp + 
  ELDERLY*CGDP + 
  stunemr*CGDP"
0.972805835539475,0.205754005350173,"Frequency Threshold = 1","ELDERLY*STUNEMR*CGDP"
0.503641391405836,0.0246883421204984,"Frequency Threshold = 1","ELDERLY*CGDP + 
  stunemr*CGDP + 
  elderly*STUNEMR*cgdp"
