"incl.cut1.val","incl.cut0.val","n.cut","Configurations"
0.216629268601537,0.0877062361687422,"Frequency Threshold = 1","devalu*hyperinf*groweak*switcher*EXECUNCO + 
  MANUFAC*DEVALU*GROSTRON*groweak*execunco + 
  manufac*DEVALU*HYPERINF*grostron*GROWEAK*execunco + 
  MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*SWITCHER + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO + 
  MANUFAC*devalu*hyperinf*groweak*SWITCHER*execunco + 
  manufac*hyperinf*GROSTRON*groweak*switcher*EXECUNCO + 
  MANUFAC*HYPERINF*grostron*groweak*switcher*execunco + 
  manufac*DEVALU*hyperinf*grostron*groweak*switcher*execunco"
0.808033287059516,0.148979441029951,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO"
0.39663454471156,0.0610704084392637,"Frequency Threshold = 1","MANUFAC*DEVALU*GROSTRON*groweak*execunco + 
  devalu*hyperinf*grostron*groweak*switcher*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO + 
  manufac*DEVALU*hyperinf*GROSTRON*groweak*switcher*EXECUNCO"
0.951719899196178,0.893746804445982,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*switcher*EXECUNCO"
0.406532796099782,0.0633847387507558,"Frequency Threshold = 1","MANUFAC*DEVALU*GROSTRON*groweak*execunco + 
  devalu*hyperinf*grostron*groweak*switcher*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO + 
  manufac*DEVALU*hyperinf*GROSTRON*groweak*switcher*EXECUNCO"
0.72883287165314,0.281727317720652,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO"
0.646183155011386,0.638774694176391,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO"
0.571175025310367,0.406156978569925,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO + 
  MANUFAC*DEVALU*hyperinf*GROSTRON*groweak*SWITCHER*execunco"
0.905942183220759,0.0519995598588139,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO"
0.390320284059271,0.0592285029124469,"Frequency Threshold = 1","MANUFAC*DEVALU*GROSTRON*groweak*execunco + 
  devalu*hyperinf*grostron*groweak*switcher*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO + 
  manufac*DEVALU*hyperinf*GROSTRON*groweak*switcher*EXECUNCO"
0.82171155535616,0.105372201418504,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO"
0.938778206240386,0.53680155496113,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*switcher*EXECUNCO"
0.892511126352474,0.127805015072227,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO"
0.749811125686392,0.627917918842286,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO"
0.403681647498161,0.21226055896841,"Frequency Threshold = 1","MANUFAC*DEVALU*GROSTRON*groweak*execunco + 
  devalu*hyperinf*grostron*groweak*switcher*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO + 
  manufac*DEVALU*hyperinf*GROSTRON*groweak*switcher*EXECUNCO"
0.746073002461344,0.724150632508099,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO"
0.189811707474291,0.116496806964278,"Frequency Threshold = 1","devalu*hyperinf*groweak*switcher*EXECUNCO + 
  devalu*hyperinf*groweak*SWITCHER*execunco + 
  MANUFAC*DEVALU*GROSTRON*groweak*execunco + 
  manufac*DEVALU*HYPERINF*grostron*GROWEAK*execunco + 
  MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*SWITCHER + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO + 
  manufac*hyperinf*GROSTRON*groweak*switcher*EXECUNCO + 
  MANUFAC*HYPERINF*grostron*groweak*switcher*execunco + 
  manufac*DEVALU*hyperinf*grostron*groweak*switcher*execunco + 
  devalu*hyperinf*GROSTRON*groweak*execunco + 
  devalu*hyperinf*groweak*switcher*EXECUNCO + 
  devalu*hyperinf*groweak*SWITCHER*execunco + 
  MANUFAC*DEVALU*GROSTRON*groweak*execunco + 
  manufac*DEVALU*HYPERINF*grostron*GROWEAK*execunco + 
  MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*SWITCHER + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO + 
  manufac*hyperinf*GROSTRON*groweak*switcher*EXECUNCO + 
  MANUFAC*HYPERINF*grostron*groweak*switcher*execunco + 
  manufac*DEVALU*hyperinf*grostron*groweak*switcher*execunco + 
  devalu*hyperinf*GROSTRON*groweak*switcher"
0.947105643106624,0.562625168357044,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*switcher*EXECUNCO"
0.632382103707641,0.373427556827664,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO"
0.860561362700537,0.410050468752161,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO"
0.951107738539577,0.679965760093182,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*switcher*EXECUNCO"
0.373222499620169,0.0504383633378893,"Frequency Threshold = 1","MANUFAC*DEVALU*GROSTRON*groweak*execunco + 
  devalu*hyperinf*grostron*groweak*switcher*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO + 
  manufac*hyperinf*GROSTRON*groweak*switcher*EXECUNCO"
0.878811662783846,0.440400279592723,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO"
0.421999021666124,0.141493222676218,"Frequency Threshold = 1","MANUFAC*DEVALU*GROSTRON*groweak*execunco + 
  MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO + 
  manufac*devalu*hyperinf*grostron*groweak*switcher*EXECUNCO + 
  manufac*DEVALU*hyperinf*GROSTRON*groweak*switcher*EXECUNCO"
0.326810802798718,0.312683592783287,"Frequency Threshold = 1","MANUFAC*DEVALU*GROSTRON*groweak*execunco + 
  devalu*hyperinf*grostron*groweak*switcher*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO + 
  manufac*hyperinf*GROSTRON*groweak*switcher*EXECUNCO + 
  MANUFAC*devalu*HYPERINF*grostron*groweak*switcher*execunco"
0.51985155348666,0.162397193722427,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO + 
  MANUFAC*DEVALU*hyperinf*GROSTRON*groweak*SWITCHER*execunco"
0.804164385423064,0.282480265712366,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO"
0.495500178774819,0.385790122905746,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO + 
  manufac*DEVALU*hyperinf*GROSTRON*groweak*switcher*EXECUNCO + 
  MANUFAC*DEVALU*hyperinf*GROSTRON*groweak*SWITCHER*execunco"
0.242423433577642,0.0271578105166554,"Frequency Threshold = 1","devalu*hyperinf*groweak*switcher*EXECUNCO + 
  MANUFAC*DEVALU*GROSTRON*groweak*execunco + 
  manufac*DEVALU*HYPERINF*grostron*GROWEAK*execunco + 
  MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*SWITCHER + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO + 
  manufac*hyperinf*GROSTRON*groweak*switcher*EXECUNCO + 
  MANUFAC*hyperinf*GROSTRON*groweak*SWITCHER*execunco + 
  MANUFAC*HYPERINF*grostron*groweak*switcher*execunco + 
  manufac*DEVALU*hyperinf*grostron*groweak*switcher*execunco"
0.445288313087076,0.0315387602895498,"Frequency Threshold = 1","MANUFAC*DEVALU*GROSTRON*groweak*execunco + 
  MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO + 
  manufac*devalu*hyperinf*grostron*groweak*switcher*EXECUNCO + 
  manufac*DEVALU*hyperinf*GROSTRON*groweak*switcher*EXECUNCO"
0.646771237021312,0.184779840288684,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO"
0.326334959827363,0.200782475760207,"Frequency Threshold = 1","MANUFAC*DEVALU*GROSTRON*groweak*execunco + 
  devalu*hyperinf*grostron*groweak*switcher*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO + 
  manufac*hyperinf*GROSTRON*groweak*switcher*EXECUNCO + 
  MANUFAC*devalu*HYPERINF*grostron*groweak*switcher*execunco"
0.465392904356122,0.0250482903793454,"Frequency Threshold = 1","MANUFAC*DEVALU*GROSTRON*groweak*SWITCHER*execunco + 
  MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*GROSTRON*groweak*execunco + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO + 
  manufac*DEVALU*hyperinf*GROSTRON*groweak*switcher*EXECUNCO"
0.157999654999003,0.0593414723407477,"Frequency Threshold = 1","devalu*hyperinf*groweak*switcher*EXECUNCO + 
  devalu*hyperinf*groweak*SWITCHER*execunco + 
  MANUFAC*DEVALU*GROSTRON*groweak*execunco + 
  manufac*DEVALU*HYPERINF*grostron*GROWEAK*execunco + 
  MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*SWITCHER + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO + 
  manufac*hyperinf*GROSTRON*groweak*switcher*EXECUNCO + 
  MANUFAC*HYPERINF*grostron*groweak*switcher*execunco + 
  manufac*DEVALU*hyperinf*grostron*groweak*switcher*execunco + 
  devalu*hyperinf*GROSTRON*groweak*execunco + 
  devalu*hyperinf*groweak*switcher*EXECUNCO + 
  devalu*hyperinf*groweak*SWITCHER*execunco + 
  MANUFAC*DEVALU*GROSTRON*groweak*execunco + 
  manufac*DEVALU*HYPERINF*grostron*GROWEAK*execunco + 
  MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*SWITCHER + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO + 
  manufac*hyperinf*GROSTRON*groweak*switcher*EXECUNCO + 
  MANUFAC*HYPERINF*grostron*groweak*switcher*execunco + 
  manufac*DEVALU*hyperinf*grostron*groweak*switcher*execunco + 
  devalu*hyperinf*GROSTRON*groweak*switcher"
0.62359647359699,0.107787766493857,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO"
0.858201953116804,0.399688058765605,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO"
0.838729303563014,0.4122959242668,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO"
0.646816810593009,0.142589601455256,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO"
0.826289369724691,0.700869977241382,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*EXECUNCO"
0.946555095724761,0.386401345487684,"Frequency Threshold = 1","MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*switcher*EXECUNCO"
0.260210288921371,0.191765827359632,"Frequency Threshold = 1","devalu*hyperinf*groweak*switcher*EXECUNCO + 
  MANUFAC*DEVALU*GROSTRON*groweak*execunco + 
  MANUFAC*DEVALU*HYPERINF*grostron*GROWEAK*SWITCHER + 
  MANUFAC*DEVALU*HYPERINF*grostron*switcher*EXECUNCO + 
  manufac*hyperinf*GROSTRON*groweak*switcher*EXECUNCO + 
  MANUFAC*hyperinf*GROSTRON*groweak*SWITCHER*execunco + 
  manufac*DEVALU*hyperinf*grostron*groweak*switcher*execunco + 
  MANUFAC*devalu*HYPERINF*grostron*groweak*switcher*execunco"
